symbol,id,type,exchange,en_organ_name,en_organ_short_name,organ_short_name,organ_name
VID,8424549,STOCK,HSX,Vien Dong Investment Development Trading Corporation,Vien Dong Paper,Viễn Đông,Công ty Cổ phần Đầu tư Phát triển Thương mại Viễn Đông
VIC,8424670,STOCK,HSX,VinGroup Joint Stock Company,VinGroup,VinGroup,Tập đoàn Vingroup - Công ty CP
VIB,8424806,STOCK,HSX,Viet Nam International Commercial Joint Stock Bank,VIBBank,VIBBank,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam
VHM,8424608,STOCK,HSX,Vinhomes Joint Stock Company,Vinhomes,Vinhomes,Công ty Cổ phần Vinhomes
VHL,8425268,STOCK,HNX,Viglacera Ha Long Joint Stock Company,Viglacera Ha Long,Viglacera Hạ Long,Công ty Cổ phần Viglacera Hạ Long
VHI,8424880,STOCK,DELISTED,,,,
VHH,8425395,STOCK,UPCOM,Thanh Dat Investment House Trading Joint Stock Company,Thanh Dat House Trading,Kinh doanh nhà Thành Đạt,Công ty Cổ phần Đầu tư Kinh doanh nhà Thành Đạt
VHG,8425257,STOCK,UPCOM,Viet Trung Nam Investment and Development Joint Stock Company,Viet Trung Nam Investment and Development JSC,Công ty Cổ phần Đầu tư và Phát triển Việt Trung Nam,Công ty Cổ phần Đầu tư và Phát triển Việt Trung Nam
VHF,8425711,STOCK,UPCOM,Vinh Ha Food Processing And Construction Joint Stock Company,Vinh Ha Food Processing,Chế biến lương thực Vĩnh Hà,Công ty Cổ phần Xây dựng và Chế biến lương thực Vĩnh Hà
VHE,8425671,STOCK,HNX,Viet Nam Herbs and Foods Joint Stock Company,Viet Nam Herbs and Foods,Dược liệu và Thực phẩm VN,Công ty Cổ phần Dược liệu và Thực phẩm Việt Nam
VHD,8425498,STOCK,UPCOM,VINAHUD Urban and Housing Development Investment Joint Stock Company,VINAHUD,PT Nhà và Đô thị Vinaconex,Công ty Cổ phần Đầu tư phát triển nhà và đô thị VINAHUD
VHC,8424715,STOCK,HSX,Vinh Hoan Corporation,Vinh Hoan Corp.,Thủy sản Vĩnh Hoàn,Công ty Cổ phần Vĩnh Hoàn
VGV,8425579,STOCK,UPCOM,Vietnam National Construction Consultant Corporation - JSC,Vietnam National Construction Consultants,Tư vấn Xây dựng Việt Nam,Tổng Công ty Tư vấn Xây dựng Việt Nam - CTCP
VGT,8425393,STOCK,UPCOM,Vietnam National Textile And Garment Group,VINATEX,VINATEX,Tập đoàn Dệt May Việt Nam
VGS,8425312,STOCK,HNX,Vietnam Germany Steel Pipe Joint Stock Company,Vietnam Germany Steel Pipe,Ống thép Việt Đức,Công ty Cổ phần Ống thép Việt - Đức VG PIPE
VGR,8425664,STOCK,UPCOM,VIP Green Port Joint Stock Company,VIP Green Port,Cảng xanh VIP,Công ty Cổ phần Cảng xanh VIP
VGP,8425327,STOCK,HNX,The Vegetexco Port Joint Stock Company,Vegetexco Port,Cảng Rau Quả,Công ty Cổ phần Cảng Rau Quả
