exercise_date,cash_year,cash_dividend_percentage,issue_method,Symbol
23/08/23,2022.0,0.12,cash,BBS
11/08/22,2021.0,0.12,cash,BBS
26/10/21,2020.0,0.07,cash,BBS
27/11/20,2019.0,0.07,cash,BBS
04/10/19,2018.0,0.07,cash,BBS
04/10/18,2017.0,0.05,cash,BBS
13/10/17,2016.0,0.1,cash,BBS
25/05/16,2015.0,0.12,cash,BBS
10/02/15,2014.0,0.12,cash,BBS
18/11/14,2013.0,0.12,cash,BBS
18/11/13,2012.0,0.12,cash,BBS
14/11/12,2011.0,0.12,cash,BBS
27/05/11,2010.0,0.12,cash,BBS
15/06/10,2009.0,0.06,cash,BBS
30/05/24,2023.0,0.292,cash,BCB
22/06/23,2022.0,0.376,cash,BCB
13/05/22,2021.0,0.316,cash,BCB
07/05/21,2020.0,0.296,cash,BCB
02/06/20,2019.0,0.16,cash,BCB
23/05/19,2018.0,0.194,cash,BCB
30/08/23,2022.0,0.05,cash,BCC
24/08/22,2021.0,0.05,cash,BCC
11/11/21,2020.0,0.03,cash,BCC
24/09/20,2020.0,0.12,share,BCC
05/10/17,2016.0,0.1,cash,BCC
17/10/16,2016.0,0.15,share,BCC
16/03/15,2011.0,0.03,cash,BCC
23/03/11,2010.0,0.05,cash,BCC
22/03/10,2009.0,0.1,cash,BCC
27/03/09,2008.0,0.1,cash,BCC
13/03/08,2007.0,0.07,cash,BCC
29/03/07,2006.0,0.047,cash,BCC
15/07/21,2020.0,0.09,cash,BCE
03/09/20,2019.0,0.12,cash,BCE
14/06/19,2018.0,0.1,cash,BCE
11/07/18,2017.0,0.08,cash,BCE
29/05/17,2016.0,0.08,cash,BCE
08/06/16,2015.0,0.07,cash,BCE
21/05/15,2014.0,0.07,cash,BCE
25/03/14,2013.0,0.13,cash,BCE
25/03/13,2012.0,0.15,cash,BCE
22/03/12,2011.0,0.17,cash,BCE
06/04/11,2010.0,0.02,cash,BCE
08/12/10,2010.0,0.15,cash,BCE
26/12/24,2024.0,0.1,cash,BCF
14/08/24,2024.0,0.08,cash,BCF
24/06/24,2024.0,0.05,share,BCF
02/01/24,2023.0,0.1,cash,BCF
03/08/23,2023.0,0.05,cash,BCF
23/06/23,2023.0,0.16,share,BCF
23/12/22,2022.0,0.12,cash,BCF
04/08/22,2022.0,0.1,cash,BCF
14/06/22,2022.0,0.1,share,BCF
22/04/22,2021.0,0.04,cash,BCF
31/12/21,2021.0,0.05,cash,BCF
