deal_announce_date,deal_method,deal_action,deal_quantity,deal_price,deal_ratio,Ticker
2024-03-13,,Bán,-621300.0,20214.0,0.168,TNG
2024-03-06,,Bán,-449300.0,19419.0,0.215,TNG
2024-01-12,,Bán,-1692100.0,17040.0,0.385,TNG
2023-11-29,,Bán,0.0,16002.0,0.475,TNG
2023-11-06,,Mua,320700.0,16002.0,0.475,TNG
2023-09-14,,Bán,-719100.0,17391.0,0.357,TNG
2023-09-08,,Bán,-617800.0,17815.0,0.325,TNG
2023-08-31,,Mua,403600.0,17137.0,0.377,TNG
2023-08-21,,Bán,-1080409.0,15610.0,0.512,TNG
2023-08-08,,Bán,-500000.0,17815.0,0.325,TNG
2025-01-10,,Mua,0.0,,,TNH
2024-10-15,,Mua,7616.0,,,TNH
2024-10-15,,Mua,13798.0,,,TNH
2024-10-15,,Mua,20545.0,,,TNH
2024-10-15,,Mua,29901.0,,,TNH
2024-10-15,,Mua,274696.0,,,TNH
2024-10-15,,Mua,360504.0,,,TNH
2024-10-15,,Mua,1014160.0,,,TNH
2024-10-15,,Mua,8885.0,,,TNH
2024-08-30,,Bán,-4262387.0,,,TNH
2024-08-13,,Mua,26500.0,,,TNH
2024-08-13,,Mua,100000.0,,,TNH
2024-07-26,,Bán,-1500000.0,,,TNH
2024-07-26,,Bán,-3500000.0,,,TNH
2024-07-18,,Bán,-1500000.0,,,TNH
2024-07-18,,Bán,-1293750.0,,,TNH
2024-07-18,,Bán,-592700.0,,,TNH
2024-07-17,,Mua,412000.0,,,TNH
2024-07-17,,Mua,4284145.0,,,TNH
2024-03-13,,Mua,574400.0,,,TNH
2021-12-30,,Bán,0.0,,,TNI
2021-04-26,,Bán,-785100.0,,,TNI
2021-04-26,,Bán,-414700.0,,,TNI
2021-04-22,,Bán,-3000000.0,,,TNI
2021-02-04,,Mua,400000.0,,,TNI
2021-01-08,,Bán,-1854500.0,,,TNI
2021-01-08,,Bán,-1398700.0,,,TNI
2021-01-08,,Bán,-592100.0,,,TNI
2021-01-06,,Bán,-50000.0,,,TNI
2020-12-28,,Bán,-497410.0,,,TNI
2020-12-25,,Mua,90500.0,,,TNI
2020-12-02,,Mua,102000.0,,,TNI
2020-11-24,,Mua,21200.0,,,TNI
2020-11-24,,Mua,54480.0,,,TNI
2020-11-24,,Mua,123950.0,,,TNI
2020-11-24,,Mua,249840.0,,,TNI
2020-10-02,,Mua,52890.0,,,TNI
2020-10-02,,Bán,-55300.0,,,TNI
2020-08-06,,Bán,-810000.0,,,TNI
2020-08-05,,Bán,-600000.0,,,TNI
2023-04-05,,Bán,-200000.0,3000.0,0.367,TNM
2023-02-10,,Bán,-20900.0,3500.0,0.171,TNM
2022-12-27,,Mua,370000.0,3400.0,0.206,TNM
2022-12-27,,Bán,-370000.0,3400.0,0.206,TNM
2017-12-26,,Bán,-25000.0,4100.0,0.0,TNM
2014-01-14,,Mua,26550.0,,,TNM
2014-01-10,,Mua,184800.0,,,TNM
2013-07-29,,Mua,333300.0,,,TNM
2013-07-29,,Bán,-343000.0,,,TNM
2013-06-03,,Mua,45400.0,,,TNM
2013-05-30,,Mua,20200.0,,,TNM
2018-08-02,,Mua,49300.0,,,TNP
2024-10-10,,Mua,106400.0,,,TNS
2024-06-27,,Mua,87300.0,,,TNS
2024-06-10,,Mua,36400.0,,,TNS
2024-04-11,,Mua,124200.0,,,TNS
2023-09-05,,Mua,0.0,,,TNS
2021-04-13,,Bán,-167540.0,,,TNS
2021-04-12,,Bán,-566400.0,,,TNS
2020-09-14,,Mua,24000.0,,,TNS
2020-01-14,,Mua,167540.0,,,TNS
2019-09-11,,Mua,126100.0,,,TNS
2019-07-31,,Mua,369700.0,,,TNS
2018-10-01,,Mua,35405.0,,,TNS
2018-09-28,,Bán,-35405.0,,,TNS
2023-08-31,,Mua,50000.0,6050.0,-0.312,TNT
2023-08-31,,Bán,-60000.0,6050.0,-0.312,TNT
